Month_Year,total_sales,total_profit,total_orders,total_quantity,avg_discount,profit_margin,average_order_value,sales_growth_pct,profit_growth_pct,margin_change_pct,sales_alert,profit_alert,margin_alert
2015-10,31404.9235,2817.366,87,631,0.16234939759036143,0.08971096522492723,360.9761321839081,-51.382495253028225,-65.68022704678516,-29.408608829616057,Sales Drop,Profit Drop,Margin Drop
2015-12,74919.5212,8016.965899999998,161,1203,0.13724683544303798,0.10700770335408921,465.33864099378883,-1.3860823585346016,-35.73465422467606,-34.83136324735009,Normal,Profit Drop,Margin Drop
2016-01,18542.491,2824.8233,48,358,0.13258426966292136,0.15234324773300414,386.3018958333334,-75.2501207922829,-64.76443413586179,42.36661750313368,Sales Drop,Profit Drop,Normal
2016-03,51715.875,3611.9679999999994,86,579,0.190920245398773,0.06984253867888728,601.3473837209302,125.05892927899023,-27.826743485641494,-67.93139612563863,Normal,Profit Drop,Margin Drop
2016-04,38750.039,2977.814899999999,89,635,0.15588235294117647,0.0768467587864879,435.3936966292134,-25.071288071602783,-17.556996628984546,10.028587505680031,Sales Drop,Profit Drop,Normal
2016-06,40344.534,4750.378099999999,97,742,0.13869346733668342,0.1177452712677261,415.92303092783504,-29.20487372298822,-45.159341800087795,-22.536110769365514,Sales Drop,Profit Drop,Margin Drop
2016-08,31115.374300000003,2062.0692999999997,90,693,0.185625,0.06627171764409723,345.72638111111115,-20.749315819996063,-53.48237992298412,-41.303194340430785,Sales Drop,Profit Drop,Margin Drop
2016-10,59687.744999999995,16243.1425,105,767,0.14719387755102042,0.27213530181111717,568.4547142857142,-18.692651199468546,74.12089923849285,114.15149037223888,Sales Drop,Normal,Normal
2016-11,79411.9658,4011.4074999999975,183,1406,0.15762162162162163,0.05051389245422756,433.94516830601094,33.045679309881805,-75.30399366994412,-81.43794938839353,Normal,Profit Drop,Margin Drop
2017-01,43971.374,7140.4391,69,597,0.16129032258064516,0.16238835520582093,637.2662898550725,-54.66823935572231,-60.076513186159985,-11.930429688969912,Sales Drop,Profit Drop,Margin Drop
2017-02,20301.1334,1613.871999999999,53,363,0.1819626168224299,0.07949664524641757,383.04025283018865,-53.83102333804717,-77.39814068297287,-51.045353501081614,Sales Drop,Profit Drop,Margin Drop
2017-04,36521.536100000005,933.289999999998,116,733,0.1944334975369458,0.025554511109405334,314.8408284482759,-37.96487763268057,-93.67342147276506,-89.80161836423193,Sales Drop,Profit Drop,Margin Drop
2017-07,45264.416,6952.6212,111,840,0.14004424778761063,0.15360015249064518,407.7875315315315,-14.565984021920986,-15.452543181473166,-1.0377121447500137,Sales Drop,Profit Drop,Normal
2017-09,87866.652,10991.5556,226,1660,0.14738562091503268,0.12509359751182964,388.79049557522126,39.203764053509516,21.5751516180972,-12.663890632034857,Normal,Normal,Margin Drop
2017-10,77776.9232,9275.275499999998,147,1133,0.1742281879194631,0.11925485244703017,529.0947156462586,-11.483001309757423,-15.614533214934578,-4.667501119909289,Sales Drop,Profit Drop,Normal
2017-11,118447.825,9690.103699999998,261,1840,0.16098039215686274,0.08180904714797421,453.82308429118774,52.291734008835135,4.472408393691385,-31.39981688853155,Normal,Normal,Margin Drop
2017-12,83829.3188,8483.3468,224,1723,0.1465800865800866,0.10119784964780126,374.2380303571428,-29.22679770607861,-12.453498304667255,23.700071294996338,Sales Drop,Profit Drop,Normal
